α	Pr	α
ἄ	x--------	ἄ
ἁβροκόμαν	Ne	ἁβροκόμας
ἀγαθῶν	A-	ἀγαθός
ἄγαλμ	V-	ἄγαλμ
ἀγαλμάτων	Nb	ἀγαλμάτων
ἄγαμος	A-	ἄγαμος
ἄγαν	Df	ἄγαν
ἀγῶν	V-	ἀγάω
ἄγγελλε	V-	ἀγγέλλω
ἄγγελον	Nb	ἄγγελον
ἀγγέλου	Nb	ἄγγελος
ἀγγέλῳ	Nb	ἄγγελος
ἄγειν	V-	ἄγειν
ἄγετ	Df	ἄγετ
ἄγετε	V-	ἄγετε
ἁγηλατήσειν	V-	ἁγηλατήσειν
ἁγνιῶ	V-	ἁγνιῶ
ἀγρευτᾶι	Nb	ἀγρευτᾶι
ἀγρίᾳ	A-	ἀγρῖος
ἀγρίων	A-	ἄγριος
ἀγύρτην	Nb	ἀγύρτης
ἀγωνίων	A-	ἀγώνιος
ἅδ	V-	ἅδ
ἀδελφῆι	Nb	ἀδελφῆ
ἀδελφός	Nb	ἀδελφός
ἀδελφὸς	Nb	ἀδελφός
ἀδικεῖτ’	V-	ἀδικεῖτ’
ἀδικεῖ	V-	ἀδικέω
ἀδικεῖν	V-	ἀδικέω
ἀδικήσαντά	V-	ἀδικήσαντά
ἄδικα	A-	ἄδικος
ἄδικος	A-	ἄδικος
ἀδίκων	A-	ἄδικος
ἀδικῶ	V-	ἀδικῶ
ἀδίκωι	A-	ἀδίκωι
Ἀδμήτωι	Ne	Ἀδμήτωι
Ἄδραστος	Ne	Ἄδραστος
ἀδύναθ	V-	ἀδύναθ
ἀδύνατ	V-	ἀδύνατ
ἀδύνατά	A-	ἀδύνατος
ἀει	V-	ἀει
ἀεί	Df	ἀεί
ἀεὶ	Df	ἀεί
ἀείμνηστον	A-	ἀείμνηστος
ἄρας	Nb	ἀείρω
ἀήθης	A-	ἀήθης
Ἀθηνῶν	Ne	ἀθῆναι
ἄθλι	A-	ἄθλι
ἀθλίαν	A-	ἀθλίαν
ἀθλία	A-	ἀθλίος
ἄθλιος	A-	ἄθλιος
ἄθλου	Nb	ἄθλου
ἀθροίσας	V-	ἀθροίζω
ἀθροῖσαι	V-	ἀθροῖζω
αἰανῆ	Ne	αἰανῆ
Αἴανθ	V-	Αἴανθ
αἴας	Ne	αἴας
Αἰγύπτου	Ne	αἴγυπτος
Αἰγύπτωι	Nb	Αἰγύπτω
Ἅιδαν	Ne	Ἅιδαν
Ἀίδας	Ne	Ἀίδης
αἰθερία	A-	αἰθερίος
αἱμοσταγές	Nb	αἱμοσταγής
αἱμοσταγὲς	Nb	αἱμοσταγής
αἴνιγμ	Nb	αἴνιγμ
αἰσχρά	A-	αἰσχρός
αἰσχρὰ	A-	αἰσχρός
αἰσχύ	Df	αἰσχύ
αἰσχύνην	Nb	αἰσχύνη
Αἰσχύνης	Nb	αἰσχύνη
αἰτίους	A-	αἴτιος
ἀΐων	Nb	ἀίω
ἀκέλευστος	A-	ἀκέλευστος
ἀκοάς	Nb	ἀκοάς
ἄκου’	V-	ἄκου’
ἀκούσθ	V-	ἀκούσθ
ἀκουστόν	A-	ἀκουστός
ἀκουστὸν	A-	ἀκουστός
ἄκουέ	V-	ἀκούω
ἀκούειν	V-	ἀκούω
ἀκουόντων	V-	ἀκούω
ἄκραν	Nb	ἄκρα
ἄκρου	A-	ἄκρον
ἄκρους	A-	ἄκρος
ἀκταί	Nb	ἀκταί
ἀκταὶ	Nb	ἀκταὶ
ἀκταῖς	Nb	ἀκτή
ἀκτάς	Nb	ἀκτή
ἀκτὰς	Nb	ἀκτή
Ἀκτή	Nb	Ἀκτή
ἀλγεινῶς	Df	ἀλγεινός
ἄλγιστον	A-	ἄλγιστος
ἀλγίων	A-	ἀλγίων
ἀληθεῖς	A-	ἀληθής
ἀληθῆ	A-	ἀληθής
ἅλιος	Df	ἅλιος
Ἀλλ	C-	Ἀλλ
ἄλλ	C-	ἄλλ
ἀλλ’	C-	ἀλλά
ἀλλάξων	V-	ἀλλάγω
ἀλλάξαν	V-	ἀλλάξαν
ἀλλήλοις	Pc	ἀλλήλων
ἀλλήλοισιν	Pc	ἀλλήλων
ἀλλήλων	Pc	ἀλλήλων
ἀλλοδαπούς	A-	ἀλλοδαπούς
ἀλλοδαποὺς	A-	ἀλλοδαποὺς
ἄλλοι	Px	ἄλλος
ἄλλοις	Px	ἄλλος
ἄλλος	Px	ἄλλος
ἄλλου	A-	ἄλλος
ἄλλων	A-	ἄλλος
ἄλλωι	A-	ἄλλω
ἄλλως	Df	ἄλλως
ἀλσώδεις	A-	ἀλσώδης
Ἁλώσεται	V-	Ἁλώσεται
ἅμ	R-	ἅμ
ἅμ	R-	ἅμα
ἀμαθίας	Nb	ἀμαθία
ἁμαρτήσῃ	V-	ἁμαρτάνω
ἁμαρτῆι	V-	ἁμαρτῆι
ἁμαρτήσηι	V-	ἁμαρτήσηι
ἁμαρτίας	Nb	ἁμαρτία
ἀμβολάς	Nb	ἀμβολή
ἀμείβω	V-	ἀμείβω
ἀμείνονες	A-	ἀμείνων
ἀμείνων	A-	ἀμείνων
ἀμέμπτως	Df	ἄμεμπτος
ἀμηχάνων	A-	ἀμήχανος
ἁμιλλήμαθ	V-	ἁμιλλήμαθ
ἀμπίσχων	V-	ἀμπίσχω
ἀμπτάμενα	V-	ἀμπτάμενος
ἀμύνεθ’	V-	ἀμύνεθ’
ἀμφ	R-	ἀμφ
ἀμφί	R-	ἀμφί
ἀμφιβωμίοις	A-	ἀμφιβωμίος
ἀν	R-	ἀν
ἄν	Df	ἄν
ἄν	Df	ἄν
ἂν	Df	ἄν
ἄνα	x--------	ἀνά
ἀνάγετ	V-	ἀνάγετ
ἀναγκάσει	V-	ἀναγκάσει
ἀναγκάσηις	V-	ἀναγκάσηις
ἀνάγκηι	Nb	ἀνάγκηι
ἀνάγετε	V-	ἀνάγω
ἀναίδει’	F-	ἀναίδει’
ἀνακαλεῖ	V-	ἀνακαλέω
ἄναξ	Nb	ἄναξ
ἀναρπαγάς	Nb	ἀναρπαγή
ἀναρπαγὰς	Nb	ἀναρπαγή
ἀνάσσηι	F-	ἀνάσσηι
ἀναστένων	V-	ἀναστένων
ἀνάσχου	V-	ἀνάσχου
ἀναφυγᾷ	Nb	ἀναφυγᾷ
ἀνδράσιν	Nb	ἀνδράσιν
ἀνειμένον	V-	ἀνειμένον
ἀνεῖρφ	V-	ἀνεῖρφ
ἀνελπίστωι	A-	ἀνελπίστως
ἀνελθών	V-	ἀνέρχομαι
ἀνελθὼν	V-	ἀνέρχομαι
ἀνέσπα	V-	ἀνέσπα
ἄνευ	R-	ἄνευ
ἀνευφημεῖ	V-	ἀνευφημεῖ
ἀνέχοιτ	V-	ἀνέχοιτ
ἀνέχων	V-	ἀνέχω
ἀνηιρεῖσθον	V-	ἀνηιρεῖσθον
ἀνήκεστον	A-	ἀνήκεστος
ἀνήρ	Nb	ἀνήρ
ἀνὴρ	Nb	ἀνήρ
ἀνήρου	V-	ἀνήρου
ἀνθ	G-	ἀνθ
ἀνθεμόρρυτον	A-	ἀνθεμόρρυτος
ἀνθεμώδη	Nb	ἀνθεμώδης
ἀνθρώποις	Nb	ἀνθρώποις
ἀνθρώπων	Nb	ἄνθρωπος
ἁνίκ	V-	ἁνίκμι
ἀνίστασ	V-	ἀνίστασμι
ἀνίστατε	V-	ἀνίστατε
ἀνέστησεν	V-	ἀνίστημι
ἀνοιδῆσάν	V-	ἀνοιδῆσάν
ἀνόνατον	A-	ἀνόνατος
ἄνους	A-	ἄνοος
ἀνοσίους	A-	ἀνοσῖος
ἀντ	R-	ἀντ
ἀντακούσῃ	V-	ἀντακούω
ἀντεῖχεν	V-	ἀντεῖχεν
ἀντηχήσατε	V-	ἀντηχέω
ἀντί	R-	ἀντί
ἀντὶ	R-	ἀντί
Ἀντιγόνη	Ne	ἀντιγόνη
ἀντιτείνοντ	V-	ἀντιτείνοντ
ἀνέφερον	V-	ἀνφέρω
ἄνωγε	V-	ἄνωγα
ἄνωχθ	V-	ἄνωχθ
ἄξει	V-	ἄξει
ἄξι	A-	ἄξι
ἄξι	V-	ἄξι
ἀξίοισί	A-	ἀξίοισί
ἀξία	A-	ἄξιος
ἄξια	A-	ἄξιος
ἀξίων	A-	ἄξιος
ἀξιώσει	V-	ἀξιόω
ἀξιώσεται	V-	ἀξιόω
ἀξίωμ	V-	ἀξίωμ
ἄξουσιν	V-	ἄξουσιν
ἀοιδοί	Nb	ἀοιδοί
ἄοικος	Nb	ἄοικος
ἀπ	R-	ἀπ
ἀπάγγελλ	V-	ἀπάγγελλμι
ἀπάγεσθε	V-	ἀπάγεσθε
ἄπαις	Nb	ἄπαις
ἀπαιτούμεσθ’	V-	ἀπαιτούμεσθ’
ἀπαξιῶν	V-	ἀπαξιῶν
ἀπαππαπαππαῖ	F-	ἀπαππαπαππαῖ
ἀπαρθένευτ	V-	ἀπαρθένευτ
ἅπασι	Px	ἅπας
ἀπάταις	Nb	ἀπάτης
ἀπέλθεθ	V-	ἀπέλθεθ
ἀπέπτυσ’	V-	ἀπέπτυσ’μι
ἀπέπτυσα	V-	ἀπέπτυσα
ἀπεστάλης	V-	ἀπεστάλης
ἀπῆρα	V-	ἀπῆρα
